                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2186,                 4.0646,                 4.3919,                0.00535,                      1,                0.02618,                0.00262,                 5.0203,                 4.1713,                 4.1595,                      0,                      0,                      0
                      2,                 4.7843,                   4.17,                 4.2846,                0.00552,                      1,                0.02618,                0.00262,                 5.0203,                 4.1705,                 4.1593,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 4.1769,                 4.0139,                 4.1789,                0.00535,                      1,                0.02618,                0.00262,                 5.0203,                 4.1705,                   4.16,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 3.8976,                 3.5384,                 4.1589,                0.00535,                      1,                0.02618,                0.00262,                 5.0203,                 4.1705,                 4.1596,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 4.4752,                 3.9706,                 4.1504,                0.00535,                      1,                0.02618,                0.00262,                 5.0203,                 4.1705,                 4.1596,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 4.4519,                 3.7474,                 4.1277,                0.00549,                      1,                0.02618,                0.00262,                 5.0195,                 4.1649,                 4.1601,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                  3.277,                  3.752,                 4.2128,                0.00549,                      1,                0.02618,                0.00262,                 5.0195,                 4.1649,                 4.1601,             0.00011287,             0.00011287,             0.00011287
                      8,                 4.1846,                 3.8541,                 4.1464,                0.00565,                      1,                0.02618,                0.00262,                 5.0183,                 4.1634,                 4.1605,              0.0001303,              0.0001303,              0.0001303
                      9,                 3.4508,                  3.942,                 4.2918,                0.00565,                      1,                0.02618,                0.00262,                 5.0183,                 4.1634,                 4.1605,             0.00014733,             0.00014733,             0.00014733
                     10,                 3.1859,                 3.6238,                 4.2416,                0.00571,                      1,                0.24875,                0.04975,                 5.0163,                 4.1544,                   4.16,             0.00016396,             0.00016396,             0.00016396
                     11,                 4.0925,                 3.2317,                 4.0812,                0.00571,                      1,                0.24875,                0.04975,                 5.0163,                 4.1544,                   4.16,              0.0001802,              0.0001802,              0.0001802
                     12,                 4.8917,                 3.7622,                 4.1401,                0.00571,                      1,                0.24875,                0.04975,                 5.0163,                 4.1544,                   4.16,             0.00019604,             0.00019604,             0.00019604
                     13,                 3.4896,                 3.6766,                 4.1999,                0.00546,                      1,                  0.199,                 0.0398,                 5.0099,                 4.1392,                 4.1582,             0.00021149,             0.00021149,             0.00021149
                     14,                  4.425,                 4.1635,                 4.1777,                0.00546,                      1,                  0.199,                 0.0398,                 5.0099,                 4.1392,                 4.1582,             0.00022654,             0.00022654,             0.00022654
                     15,                 4.0172,                  4.535,                 4.1178,                0.00546,                      1,                  0.199,                 0.0398,                 5.0099,                 4.1392,                 4.1582,             0.00024119,             0.00024119,             0.00024119
                     16,                 3.4712,                 3.5158,                   4.24,                0.00546,                      1,                0.14214,                0.02843,                 5.0042,                 4.1235,                 4.1561,             0.00025545,             0.00025545,             0.00025545
                     17,                 3.1482,                 3.7288,                 4.2362,                0.00546,                      1,                0.14214,                0.02843,                 5.0042,                 4.1235,                 4.1561,             0.00026931,             0.00026931,             0.00026931
                     18,                 3.9423,                 4.0941,                 4.0863,                0.00546,                      1,                0.14214,                0.02843,                 5.0042,                 4.1235,                 4.1561,             0.00028278,             0.00028278,             0.00028278
                     19,                 3.2885,                 3.6526,                 4.0509,                0.00546,                      1,                0.14214,                0.02843,                 5.0042,                 4.1235,                 4.1561,             0.00029585,             0.00029585,             0.00029585
                     20,                 4.2999,                 3.7832,                 4.1697,                0.00568,                      1,                0.24875,                0.04975,                  4.993,                 4.2121,                 4.1518,             0.00030852,             0.00030852,             0.00030852
